Zip Code,Neighborhood,boro
11307,"Brighton Heights, Tottenville",Staten Island
11312,"Annadale, Arden Heights, Rossville, Woodrow, Eltingville",Staten Island
11351,Flushing,Queens
11354,"Flushing, Linden Hill",Queens
11355,"Flushing, Queensboro Hill",Queens
11356,College Point,Queens
11357,"Whitestone, Beechhurst, Clearview",Queens
11357,Malba,Queens
11358,"Murray Hill, Auburndale",Queens
11359,"Bayside, Fort Totten",Queens
11360,Bay Terrace,Queens
11361,Bayside,Queens
11362,"Douglaston, Little Neck",Queens
11363,"Douglaston, Little Neck",Queens
11364,Oakland Gardens,Queens
11365,"Hillcrest, Pomonok",Queens
11366,"Fresh Meadows, Hillcrest",Queens
11367,"Fresh Meadows, Kew Gardens Hills",Queens
11368,Willets Point,Queens
11369,East Elmhurst,Queens
11370,"Astoria Heights, Ditmars (Astoria)",Queens
11370,"East Elmhurst, Jackson Heights",Queens
11371,East Elmhurst,Queens
11372,Jackson Heights,Queens
11373,Elmhurst,Queens
11374,Rego Park,Queens
11375,"Forest Hills, Forest Hills Gardens",Queens
11377,Woodside,Queens
11378,Maspeth,Queens
11379,Middle Village,Queens
11385,"Fresh Pond, Glendale, Ridgewood",Queens
11386,Ridgewood,Queens
11411,Cambria Heights,Queens
11412,Saint Albans,Queens
11413,"Laurelton, Springfield Gardens",Queens
11414,"Howard Beach, Lindenwood",Queens
11415,Kew Gardens,Queens
11416,Ozone Park,Queens
11417,"Ozone Park, Tudor Village",Queens
11418,"Kew Gardens, Richmond Hill",Queens
11420,South Ozone Park,Queens
11421,Woodhaven,Queens
11422,"Meadowmere, Rosedale",Queens
11423,"Hollis, Holliswood, Jamaica Estates",Queens
11424,Kew Gardens,Queens
11426,Bellerose,Queens
11427,"Bellaire, Hollis Hills, Queens Village",Queens
11428,"Bellaire, Queens Village",Queens
11429,"Bellaire, Queens Village",Queens
11430,JFK Airport,Queens
11432,"Jamaica Estates, Jamaica Hills",Queens
11433,South Jamaica,Queens
11434,"Rochdale Village, South Jamaica",Queens
11435,"Briarwood, South Jamaica",Queens
11436,"South Jamaica, South Ozone Park",Queens
11690,Edgemere (Far Rockaway),Queens
11691,Bayswater (Far Rockaway),Queens
11692,Arverne (Far Rockaway),Queens
11693,"Broad Channel, Hammels, Rockaway Beach (Far Rockaway)",Queens
11694,Belle Harbor (Far Rockaway),Queens
11694,"Neponsit, Rockaway Park",Queens
11695,Far Rockaway,Queens
11697,"Breezy Point, Roxbury (Far Rockaway)",Queens
